id,subject,topic,year,stem,r1_text,r1_ans,r1_info,r2_text,r2_ans,r2_info,r3_text,r3_ans,r3_info,r4_text,r4_ans,r4_info,r5_text,r5_ans,r5_info
68,Anatomy,Thorax,2024,Regarding the diaphragm:,The caval opening is at the level of T8.,T,Transmits the IVC.,The esophageal hiatus is at the level of T12.,F,It is at T10.,The right crus is longer than the left crus.,T,Originates from L1-L3.,It is innervated by the phrenic nerves (C3 C4 C5).,T,Diaphragm is the chief muscle of inspiration.,Contraction of the diaphragm increases the vertical dimension of the thorax.,T,Flattens the dome.
69,Anatomy,Pelvis,2024,Regarding the internal iliac artery:,The obturator artery is a branch of the posterior division.,F,Usually a branch of the anterior division.,The uterine artery crosses the ureter superiorly.,T,Ureter passes under the artery.,The internal pudendal artery supplies the perineum.,T,Passes through the pudendal canal.,The superior gluteal artery is the largest branch.,T,Supplies the gluteal muscles.,The middle rectal artery is a branch of the external iliac.,F,Branch of the internal iliac.
70,Anatomy,Pelvis,2024,Regarding the pelvic ligaments:,The sacrospinous ligament converts the sciatic notches into foramina.,T,Forms the greater and lesser sciatic foramina.,The inguinal ligament is formed by the external oblique aponeurosis.,T,From ASIS to pubic tubercle.,The sacrotuberous ligament is a key stabilizer of the SI joint.,T,Resists upward tilt of the sacrum.,The ligamentum teres uteri passes through the inguinal canal.,T,In females.,The puboprostatic ligament supports the male bladder.,T,Attaches to the pelvic floor.
71,Anatomy,Perineum,2024,Regarding the anal canal:,The upper half is derived from the endoderm.,T,Supplied by superior rectal artery.,The pectinate line marks the site of the anal membrane.,T,Boundary between visceral and somatic.,Internal hemorrhoids are painful.,F,Above pectinate line; insensitive to pain.,The external anal sphincter is supplied by the inferior rectal nerve.,T,Voluntary control.,Lymph from below the pectinate line drains to the superficial inguinal nodes.,T,Above drains to internal iliac.
72,Anatomy,Perineum,2024,Regarding the scrotum and testes:,The tunica vaginalis is a remnant of the processus vaginalis.,T,Serous covering of the testis.,The pampiniform plexus helps in thermoregulation.,T,Countercurrent heat exchange.,The lymphatic drainage of the testis is to the inguinal nodes.,F,Drains to para-aortic nodes.,The cremasteric reflex is mediated by the genitofemoral nerve.,T,L1-L2 fibers.,The left testicular vein drains into the IVC.,F,Drains into the left renal vein.
73,Anatomy,Histology,2024,Regarding bone tissue:,Osteoblasts secrete the organic matrix (osteoid).,T,Responsible for bone formation.,Osteocytes reside in small spaces called lacunae.,T,Maintain bone tissue.,Canaliculi allow communication between osteocytes.,T,Contain cytoplasmic processes.,The periosteum covers the articular surfaces of bones.,F,Articular surfaces are covered by hyaline cartilage.,Woven bone is more mechanically sound than lamellar bone.,F,Lamellar bone is mature and stronger.
74,Anatomy,Histology,2024,Regarding glands:,Exocrine glands secrete products into ducts.,T,e.g. salivary glands.,Holocrine secretion involves the death of the secretory cell.,T,e.g. sebaceous glands.,Merocrine glands lose a portion of their cytoplasm during secretion.,F,Merocrine uses exocytosis; Apocrine loses cytoplasm.,The thyroid is an example of a follicular endocrine gland.,T,Stores hormones extracellularly.,Goblet cells are characterized by an abundance of RER and Golgi.,T,For mucus protein synthesis.
75,Anatomy,Embryology,2024,Regarding early development:,The ductus venosus shunts blood from the umbilical vein to the IVC.,T,Bypasses the liver.,The foramen ovale connects the two ventricles.,F,Connects the right atrium to the left atrium.,High oxygen levels cause the ductus arteriosus to close after birth.,T,Becomes the ligamentum arteriosum.,The umbilical arteries carry oxygenated blood to the fetus.,F,They carry deoxygenated blood to the placenta.,The ligamentum teres is the remnant of the umbilical vein.,T,Found in the falciform ligament.
76,Anatomy,Embryology,2024,Regarding pharyngeal arches:,The first arch is the mandibular arch.,T,Forms Meckel's cartilage.,The facial nerve is the nerve of the second arch.,T,Supplies muscles of facial expression.,The third arch forms the stylopharyngeus muscle.,T,Innervated by glossopharyngeal nerve.,The fourth and sixth arches are innervated by the vagus nerve.,T,Forms laryngeal muscles.,The second arch gives rise to the greater horn of the hyoid.,F,Third arch forms greater horn.
77,Biochemistry,Carbohydrates,2024,Regarding glucose transporters:,GLUT1 is the primary transporter in the brain and RBCs.,T,High affinity and insulin independent.,GLUT2 has a high Km for glucose.,T,Found in liver and pancreas; acts as glucose sensor.,GLUT4 is insulin-dependent.,T,Found in skeletal muscle and adipose tissue.,SGLT1 is a passive transporter.,F,It is a secondary active symporter with sodium.,GLUT5 is specific for fructose transport.,T,Found in the small intestine.
78,Biochemistry,Carbohydrates,2024,Regarding glycosaminoglycans (GAGs):,GAGs are unbranched polysaccharide chains.,T,Composed of repeating disaccharide units.,Heparin acts as a natural anticoagulant.,T,Increases antithrombin III activity.,Chondroitin sulfate is the most abundant GAG in the body.,T,Found in cartilage and bone.,Keratan sulfate contains uronic acid.,F,It is the only GAG that lacks uronic acid.,They are highly negatively charged.,T,Due to sulfate and carboxyl groups.
79,Biochemistry,Amino acids,2024,Regarding amino acid reactions:,The ninhydrin reaction is used to detect amino acids.,T,Produces a purple color (except proline).,Oxidative deamination of glutamate produces alpha-ketoglutarate.,T,Catalyzed by glutamate dehydrogenase.,Decarboxylation of histidine produces histamine.,T,Occurs in mast cells.,Glutathione is a tripeptide containing glycine glutamate and cysteine.,T,Important antioxidant.,The Sanger's reagent identifies the C-terminal amino acid.,F,Identifies the N-terminal.
80,Biochemistry,Amino acids,2024,Regarding specialized products of amino acids:,Tyrosine is the precursor for melanin.,T,Via the enzyme tyrosinase.,Creatine is synthesized from arginine and glycine.,T,Occurs in liver and kidney.,Nitric oxide is derived from lysine.,F,Derived from arginine.,GABA is a derivative of glutamate.,T,Major inhibitory neurotransmitter.,Thyroid hormones (T3 T4) are derived from tyrosine.,T,Iodinated tyrosine residues.
81,Biochemistry,Nucleic acids,2024,Regarding RNA types:,mRNA carries the genetic code from DNA to ribosomes.,T,Acts as a template.,tRNA has a cloverleaf secondary structure.,T,Contains the anticodon loop.,rRNA is the most abundant type of RNA in the cell.,T,Makes up about 80%.,Small nuclear RNA (snRNA) is involved in splicing.,T,Forms spliceosomes.,miRNA stimulates the translation of specific mRNAs.,F,miRNA usually inhibits translation.
82,Biochemistry,Nucleic acids,2024,Regarding mutations and DNA repair:,A silent mutation changes the amino acid sequence.,F,Changes the codon but not the amino acid.,A nonsense mutation creates a premature stop codon.,T,Results in truncated proteins.,UV light causes thymine dimers.,T,Distorts the DNA helix.,Xeroderma pigmentosum is a defect in nucleotide excision repair.,T,Leads to extreme sun sensitivity.,Mismatch repair corrects errors made during DNA replication.,T,Identifies the newly synthesized strand.
83,Biochemistry,Lipids,2024,Regarding ketone bodies:,Acetoacetate is a ketone body.,T,Synthesized in the liver.,Ketogenesis occurs when Acetyl-CoA levels are high.,T,During fasting or diabetes.,The brain can use ketone bodies during prolonged starvation.,T,Reduces glucose requirement.,Acetone is used as an energy source by the heart.,F,Acetone is a waste product excreted via breath.,Ketolysis occurs in the liver.,F,The liver lacks the enzyme thiophorase.
84,Biochemistry,Lipids,2024,Regarding prostaglandins and leukotrienes:,Prostaglandins are synthesized from arachidonic acid.,T,Via the cyclooxygenase path.,Leukotrienes are involved in asthma and inflammation.,T,Produced via the lipoxygenase pathway.,Thromboxane A2 promotes platelet aggregation.,T,Causes vasoconstriction.,Prostacyclin (PGI2) inhibits platelet aggregation.,T,Synthesized by vascular endothelium.,NSAIDs stimulate prostaglandin synthesis.,F,They inhibit COX enzymes.
85,Biochemistry,Carb metabolism,2024,Regarding the HMP Shunt:,It produces NADH for the electron transport chain.,F,It produces NADPH for reductive biosynthesis.,The oxidative phase is reversible.,F,Oxidative phase is irreversible.,Glucose-6-phosphate dehydrogenase (G6PD) is the rate-limiting enzyme.,T,Regulated by NADPH levels.,It provides ribose-5-phosphate for nucleotide synthesis.,T,Essential for DNA production.,G6PD deficiency leads to hemolytic anemia.,T,Reduces antioxidant capacity.
86,Biochemistry,Carb metabolism,2024,Regarding glycogen metabolism:,Glycogen synthase is the rate-limiting enzyme of glycogenesis.,T,Activated by Insulin.,Glycogen phosphorylase requires pyridoxal phosphate (PLP).,T,Co-factor derived from B6.,Von Gierke disease is a deficiency of alpha-glucosidase.,F,It is a deficiency of Glucose-6-Phosphatase.,Epinephrine stimulates glycogenolysis in both liver and muscle.,T,Via cAMP signaling.,Muscle glycogen contributes to blood glucose levels.,F,Muscle lacks glucose-6-phosphatase.
87,Biochemistry,Amino metab,2024,Regarding the metabolism of individual amino acids:,Maple Syrup Urine Disease is a defect in branched-chain ketoacid dehydrogenase.,T,Affects Leucine Isoleucine and Valine.,Homocystinuria is often caused by a deficiency of cystathionine beta-synthase.,T,Leads to high homocysteine levels.,Albinism is due to a lack of phenylalanine hydroxylase.,F,Due to lack of tyrosinase.,Tryptophan is the precursor for Vitamin B3 (Niacin).,T,Essential for NAD synthesis.,Arginine is the precursor for the gasotransmitter Nitric Oxide.,T,Produced by NOS enzyme.
88,Biochemistry,Amino metab,2024,Regarding ammonia transport:,Glutamine is the major non-toxic carrier of ammonia in the blood.,T,Formed by glutamine synthetase.,The glucose-alanine cycle transports ammonia from muscle to liver.,T,Alanine is converted back to pyruvate in the liver.,Ammonia is highly toxic to the central nervous system.,T,Depletes alpha-ketoglutarate.,Glutaminase in the kidney releases ammonia for pH buffering.,T,Excreted as ammonium ion.,Hyperammonemia can be caused by liver cirrhosis.,T,Reduced capacity for urea cycle.
89,Biochemistry,Digestion,2024,Regarding vitamin absorption:,Vitamin B12 absorption requires intrinsic factor from parietal cells.,T,Absorbed in terminal ileum.,Fat-soluble vitamins (A D E K) require micelles for absorption.,T,Absorbed with dietary lipids.,Vitamin C is absorbed via sodium-dependent transporters (SVCT).,T,Active transport mechanism.,Folic acid is absorbed in the duodenum and jejunum.,T,Important for DNA synthesis.,Most water-soluble vitamins are absorbed in the stomach.,F,Most are absorbed in the small intestine.
90,Biochemistry,Digestion,2024,Regarding dietary fiber:,Cellulose is a soluble fiber.,F,It is an insoluble fiber.,Lignin is a carbohydrate.,F,It is a non-carbohydrate polymer.,Fiber decreases the transit time of food in the gut.,T,Speeds up bowel movements.,Soluble fibers can lower blood cholesterol levels.,T,By binding bile acids.,Pectin is commonly found in fruits.,T,A soluble fiber used in jellies.
91,Biochemistry,Water,2024,Regarding fluid shifts:,Adding isotonic saline to the ECF increases ECF volume but does not change osmolarity.,T,No shift between ECF and ICF.,Adding pure water to the ECF increases both ECF and ICF volumes.,T,Osmolarity decreases in both.,Excessive sweating leads to ICF dehydration.,T,ECF becomes hypertonic drawing water from ICF.,Infusion of hypertonic saline causes the ICF volume to increase.,F,It causes ICF to shrink.,The Gibbs-Donnan effect influences the distribution of ions across the capillary wall.,T,Due to non-diffusible plasma proteins.
92,Biochemistry,Water,2024,Regarding Acid-Base disturbances:,Metabolic acidosis is characterized by a low blood pH and low bicarbonate.,T,Primary decrease in HCO3.,In respiratory alkalosis the primary change is a decrease in PCO2.,T,Due to hyperventilation.,The anion gap is increased in lactic acidosis.,T,Accumulation of unmeasured anions.,Renal compensation for respiratory acidosis involves increasing H+ secretion.,T,And increasing bicarbonate reabsorption.,Vomiting typically causes metabolic acidosis.,F,It causes metabolic alkalosis.
93,Physiology,Cell,2024,Regarding the cell membrane:,The cell membrane is a fluid mosaic of lipids and proteins.,T,Singer-Nicolson model.,Cholesterol increases the fluidity of the membrane at high temperatures.,F,It stabilizes the membrane.,Integral proteins span the entire lipid bilayer.,T,Function as channels or pumps.,The glycocalyx is found on the inner surface of the membrane.,F,Found on the outer surface.,Flip-flop movement of phospholipids is a frequent occurrence.,F,It is rare compared to lateral diffusion.
94,Physiology,Cell,2024,Regarding cytoplasmic organelles:,Mitochondria are the primary site of ATP production.,T,Via oxidative phosphorylation.,Rough endoplasmic reticulum is involved in lipid synthesis.,F,Smooth ER is for lipids.,Lysosomes contain hydrolases that work at acidic pH.,T,Hydrolases work at low pH.,The Golgi apparatus modifies and packages proteins for secretion.,T,The shipping center of the cell.,Peroxisomes are involved in the breakdown of very long-chain fatty acids.,T,Generate hydrogen peroxide.
95,Physiology,Cell,2024,Regarding the nucleus and cell cycle:,The nucleolus is the site of ribosomal RNA (rRNA) synthesis.,T,Not membrane-bound.,DNA replication occurs during the G1 phase of the cell cycle.,F,Occurs during the S phase.,Mitosis results in two genetically identical daughter cells.,T,Diploids from diploids.,In prophase the nuclear envelope breaks down.,T,Chromosomes condense.,Apoptosis is an inflammatory process of cell death.,F,It is programmed cell death (non-inflammatory).
96,Physiology,Cell,2024,Regarding transport across the cell membrane:,Simple diffusion requires carrier proteins.,F,No protein or energy required.,Facilitated diffusion is a saturable process.,T,Limited by the number of carriers.,Primary active transport uses energy directly from ATP hydrolysis.,T,e.g. Na-K ATPase.,Osmosis is the movement of solute from low to high concentration.,F,Movement of solvent (water).,Exocytosis is the process of secreting substances out of the cell.,T,Vesicles fuse with the plasma membrane.
97,Biochemistry,Proteins,2024,Regarding protein structure:,The primary structure is determined by peptide bonds.,T,Sequence of amino acids.,Alpha-helices are stabilized by hydrogen bonds between R-groups.,F,H-bonds are between backbone carbonyl and amide.,Tertiary structure describes the overall 3D folding of a single polypeptide.,T,Driven by hydrophobic interactions.,Denaturation involves the breaking of peptide bonds.,F,Breaks higher order structures.,Quaternary structure is present in all proteins.,F,Only in multimeric proteins.
98,Biochemistry,Proteins,2024,Regarding Hemoglobin and Myoglobin:,Myoglobin has a higher affinity for oxygen than hemoglobin.,T,Acts as an oxygen store in muscle.,Hemoglobin shows sigmoidal oxygen dissociation curve.,T,Due to cooperative binding.,Fetal hemoglobin (HbF) has a lower affinity for 2-3-BPG.,T,Allows it to bind O2 more strongly.,The Bohr effect shifts the Hb curve to the left.,F,Shifts to the right (facilitates unloading).,Carbon monoxide binds to hemoglobin with much higher affinity than oxygen.,T,Prevents oxygen transport.
99,Biochemistry,Proteins,2024,Regarding Enzymes:,Enzymes increase the rate of reaction by lowering activation energy.,T,Biological catalysts.,The Michaelis constant (Km) is the substrate concentration at Vmax.,F,It is the concentration at half Vmax.,A competitive inhibitor increases the Km but doesn't change Vmax.,T,Competes for the active site.,Allosteric enzymes follow Michaelis-Menten kinetics.,F,They show sigmoidal kinetics.,Vmax is directly proportional to enzyme concentration.,T,More enzyme equals higher capacity.
100,Biochemistry,Proteins,2024,Regarding specialized proteins:,Collagen is a triple helical fibrous protein.,T,Rich in glycine and proline.,Albumin is the major contributor to plasma oncotic pressure.,T,Most abundant plasma protein.,Immunoglobulins are composed of two heavy and two light chains.,T,Linked by disulfide bonds.,Casein is the primary protein found in wheat.,F,Gluten is in wheat; Casein is in milk.,Ferritin is the primary storage form of iron.,T,Found in liver and spleen.
